missing_french_bird_name,min_distance_to_world_bird,world_birds_with_min_dist,id,bird_name_image
graylag_goose,1,greylag_goose,84,greylag_goose
brant,4,nene;besra;kagu;sora;brolga;ruff;kea;mao;brubru;rook;wrentit;omao,4,brant_goose
mandarin_duck,4,andean_duck,None,None
marbled_teal,4,marbled_duck,189,marbled_duck
ruddy_duck,4,ruddy_shelduck;wood_duck;musk_duck;ruddy_crake;rudds_lark,None,None
black_grouse,4,black_guan;sage_grouse;black_crake;black_phoebe;black_oriole;black_drongo;black_robin;black_thrush,None,None
gray_partridge,1,grey_partridge,432,grey_partridge
ring_necked_pheasant,7,white_eared_pheasant;brown_eared_pheasant;blue_eared_pheasant,520,common_pheasant
eared_grebe,3,horned_grebe,723,black_necked_grebe
rock_pigeon,3,trocaz_pigeon;pink_pigeon,1824,rock_dove
eurasian_nightjar,3,european_nightjar,2671,european_nightjar
eurasian_moorhen,4,tristan_moorhen;eurasian_hoopoe;eurasian_wren,1388,common_moorhen
eurasian_thick_knee,4,peruvian_thick_knee,1442,eurasian_stone_curlew
black_bellied_plover,5,black_bellied_tern;black_bellied_wren;black_billed_weaver,1508,grey_plover
little_ringed_plover,6,common_ringed_plover,None,None
eurasian_whimbrel,5,eurasian_dotterel;eurasian_wren;hudsonian_whimbrel,1565,whimbrel
bar_tailed_godwit,3,black_tailed_godwit,None,None
short_billed_dowitcher,4,long_billed_dowitcher,None,None
oriental_pratincole,6,grey_pratincole,None,None
long_tailed_jaeger,5,long_tailed_hawk;long_tailed_triller,None,None
dovekie,4,akekee,1783,little_auk
common_gull,3,common_quail;common_bulbul,1719,mew_gull
glaucous_gull,5,audouins_gull;olrogs_gull;glaucous_macaw,None,None
arctic_loon,3,arctic_tern,538,black_throated_loon
yellow_nosed_albatross,7,indian_yellow_nosed_albatross,None,None
european_shag,4,european_serin,None,None
great_bittern,3,forest_bittern;least_bittern,802,eurasian_bittern
gray_heron,1,grey_heron,839,grey_heron
western_reef_heron,7,white_necked_heron;pacific_reef_heron;western_swamphen;western_fieldwren,None,None
cattle_egret,2,little_egret,837,western_cattle_egret
green_heron,2,grey_heron,None,None
oriental_honey_buzzard,5,crested_honey_buzzard,964,crested_honey_buzzard
r端ppells_griffon,6,r端ppells_korhaan;r端ppells_parrot,982,r端ppells_vulture
eurasian_griffon,4,eurasian_wigeon,984,griffon_vulture
eurasian_marsh_harrier,5,eastern_marsh_harrier;african_marsh_harrier,1109,western_marsh_harrier
rough_legged_hawk,6,rough_legged_buzzard,1188,rough_legged_buzzard
gray_headed_woodpecker,1,grey_headed_woodpecker,3906,grey_headed_woodpecker
eurasian_green_woodpecker,3,european_green_woodpecker,3901,european_green_woodpecker
eurasian_kestrel,4,eurasian_dotterel,None,None
brown_shrike,3,brown_crake,None,None
iberian_gray_shrike,1,iberian_grey_shrike,6460,iberian_grey_shrike
great_gray_shrike,1,great_grey_shrike,6459,great_grey_shrike
lesser_gray_shrike,1,lesser_grey_shrike,6456,lesser_grey_shrike
eurasian_magpie,4,eurasian_hoopoe;australian_magpie,None,None
eurasian_nutcracker,6,eurasian_nuthatch,6828,spotted_nutcracker
yellow_billed_chough,5,yellow_billed_duck;yellow_billed_loon;yellow_billed_stork;yellow_billed_cuckoo;yellow_billed_cotinga;yellow_billed_shrike;red_billed_chough,6831,alpine_chough
eurasian_jackdaw,4,daurian_jackdaw;eurasian_blackcap,6833,western_jackdaw
common_raven,3,common_crane,6876,northern_raven
crested_tit,3,crested_ibis;crested_owl;crested_jay,7014,european_crested_tit
wood_lark,3,wood_duck;wood_stork;foxy_lark;red_lark;sand_lark,None,None
mediterranean_short_toed_lark,10,mongolian_short_toed_lark;greater_short_toed_lark;asian_short_toed_lark;lesser_short_toed_lark,7180,lesser_short_toed_lark
common_reed_warbler,3,cook_reed_warbler,7621,eurasian_reed_warbler
plain_martin,3,pale_martin,None,None
bank_swallow,2,barn_swallow,7349,sand_martin
cliff_swallow,4,hill_swallow;blue_swallow;cave_swallow,7420,american_cliff_swallow
humes_warbler,3,yemen_warbler;lucys_warbler,7529,humes_leaf_warbler
western_subalpine_warbler,7,western_bonellis_warbler,8152,subalpine_warbler
greater_whitethroat,4,lesser_whitethroat,8146,common_whitethroat
european_starling,4,european_serin,8597,common_starling
gray_cheeked_thrush,1,grey_cheeked_thrush,8727,grey_cheeked_thrush
eurasian_blackbird,4,eurasian_blackcap,8757,common_blackbird
european_pied_flycatcher,7,atlas_pied_flycatcher;little_pied_flycatcher,None,None
rufous_tailed_rock_thrush,4,rufous_tailed_palm_thrush,9077,common_rock_thrush
western_black_eared_wheatear,2,eastern_black_eared_wheatear,9122,black_eared_wheatear
gray_wagtail,1,grey_wagtail,9696,grey_wagtail
rock_pipit,2,rosy_pipit,9733,eurasian_rock_pipit
american_pipit,2,african_pipit,9731,buff_bellied_pipit
eurasian_linnet,5,eurasian_wigeon;eurasian_bittern;eurasian_coot;eurasian_curlew;eurasian_wryneck;eurasian_wren,9911,common_linnet
hoary_redpoll,5,common_redpoll,9916,arctic_redpoll
white_winged_crossbill,5,white_winged_robin;white_winged_grosbeak,9921,two_barred_crossbill
eurasian_siskin,4,eurasian_wigeon,None,None
pallass_bunting,5,mckays_bunting;slaty_bunting;cabaniss_bunting;yellow_bunting;pallass_reed_bunting;lark_bunting;painted_bunting,10035,pallass_reed_bunting
reed_bunting,3,crested_bunting;rock_bunting;grey_bunting;varied_bunting,10037,common_reed_bunting
brown_headed_cowbird,5,brown_headed_crow,None,None
yellow_warbler,2,willow_warbler,10347,american_yellow_warbler
chestnut_sided_warbler,4,chestnut_vented_warbler,None,None
